Timestamp | Level | Message
2026-03-02T20:10:34.154Z | INFO | [RepairService] | User 6089 | Robot 50223 (User2Robot3) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.159Z | INFO | [RepairService] | User 6089 | Robot 50221 (User2Robot1) | Cost: ₡20,240 | Discount: 0%
2026-03-02T20:10:34.163Z | INFO | [RepairService] | User 6089 | Robot 50220 (User2Robot0) | Cost: ₡19,090 | Discount: 0%
2026-03-02T20:10:34.170Z | INFO | [RepairService] | User 6079 | Robot 50191 (User2Robot3) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.175Z | INFO | [RepairService] | User 6079 | Robot 50190 (User2Robot2) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.180Z | INFO | [RepairService] | User 6079 | Robot 50188 (User2Robot0) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.184Z | INFO | [RepairService] | User 6079 | Robot 50189 (User2Robot1) | Cost: ₡32,085 | Discount: 0%
2026-03-02T20:10:34.192Z | INFO | [RepairService] | User 6083 | Robot 50201 (User1Robot1) | Cost: ₡16,100 | Discount: 0%
2026-03-02T20:10:34.197Z | INFO | [RepairService] | User 6083 | Robot 50202 (User1Robot2) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.202Z | INFO | [RepairService] | User 6083 | Robot 50200 (User1Robot0) | Cost: ₡9,200 | Discount: 0%
2026-03-02T20:10:34.207Z | INFO | [RepairService] | User 6083 | Robot 50203 (User1Robot3) | Cost: ₡34,155 | Discount: 0%
2026-03-02T20:10:34.216Z | INFO | [RepairService] | User 6091 | Robot 50225 (User1Robot1) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.219Z | INFO | [RepairService] | User 6091 | Robot 50226 (User1Robot2) | Cost: ₡14,030 | Discount: 0%
2026-03-02T20:10:34.225Z | INFO | [RepairService] | User 6091 | Robot 50224 (User1Robot0) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:34.244Z | INFO | [RepairService] | User 6091 | Robot 50227 (User1Robot3) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.260Z | INFO | [RepairService] | User 6103 | Robot 50266 (User1Robot2) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.267Z | INFO | [RepairService] | User 6103 | Robot 50267 (User1Robot3) | Cost: ₡17,710 | Discount: 0%
2026-03-02T20:10:34.274Z | INFO | [RepairService] | User 6103 | Robot 50265 (User1Robot1) | Cost: ₡18,170 | Discount: 0%
