Timestamp | Level | Message
2026-03-02T21:21:25.614Z | INFO | 🌱 Ensuring weapons are seeded for tests...
2026-03-02T21:21:25.710Z | INFO | ✅ Weapons seeded
2026-03-02T21:21:25.749Z | INFO | [Admin] Running 3 bulk cycles (includeTournaments: false, generateUsersPerCycle: true)...
2026-03-02T21:21:25.750Z | INFO | === Cycle 21 Started ===
2026-03-02T21:21:25.750Z | INFO | Cycle 21 (1/3)
2026-03-02T21:21:25.750Z | INFO |  [Admin] === Cycle 21 (1/3) ===
2026-03-02T21:21:25.754Z | INFO | [Admin] Step 1: Execute League Battles (1v1)
2026-03-02T21:21:25.754Z | INFO | [BattleOrchestrator] Executing all scheduled league battles
2026-03-02T21:21:25.757Z | INFO | [BattleOrchestrator] Found 0 matches to execute
2026-03-02T21:21:25.757Z | INFO | [BattleOrchestrator] Execution complete: 0 successful, 0 failed, 0 bye-matches
2026-03-02T21:21:25.757Z | INFO | [BattleOrchestrator] Reputation: 0 prestige, 0 fame awarded
2026-03-02T21:21:25.758Z | INFO | [Admin] Step 2: Repair All Robots (post-league)
2026-03-02T21:21:25.787Z | INFO | [RepairService] | User 9862 | Robot 175112 (TestRobot_1772486076895_0.5573096337163371) | Cost: ₡2,400 | Discount: 0%
2026-03-02T21:21:25.792Z | INFO | [RepairService] | User 9862 | Robot 175108 (TestRobot_1772486076876_0.624176766738821) | Cost: ₡2,400 | Discount: 0%
2026-03-02T21:21:25.795Z | INFO | [RepairService] | User 9862 | Robot 175109 (TestRobot_1772486076879_0.3689366778706027) | Cost: ₡1,600 | Discount: 0%
2026-03-02T21:21:25.799Z | INFO | [RepairService] | User 9862 | Robot 175110 (TestRobot_1772486076886_0.48071631540545634) | Cost: ₡6,400 | Discount: 0%
2026-03-02T21:21:25.802Z | INFO | [RepairService] | User 9862 | Robot 175111 (TestRobot_1772486076888_0.9726100999949964) | Cost: ₡1,600 | Discount: 0%
2026-03-02T21:21:25.806Z | INFO | [RepairService] | User 9862 | Robot 175122 (TestRobot_1772486076954_0.2704028066848717) | Cost: ₡2,176 | Discount: 0%
2026-03-02T21:21:25.823Z | INFO | [RepairService] | User 9862 | Robot 175123 (TestRobot_1772486076957_0.6774946301644121) | Cost: ₡1,632 | Discount: 0%
2026-03-02T21:21:25.830Z | INFO | [RepairService] | User 9862 | Robot 175128 (TestRobot_1772486076984_0.34414077257458275) | Cost: ₡1,056 | Discount: 0%
